Timestamp,VA,W,VAR,PF,VLL,VLN,A,F,VA1,W1,VAR1,PF1,V12,V1,A1,VA2,W2,VAR2,PF2,V23,V2,A2,VA3,W3,VAR3,PF3,V31,V3,A3,FwdVAh,FwdWh,FwdVARh,FwdVARh,Present_demand,Max_MD,Max_DM_time,RevVAh,RevWh,RevVARh,RevVARh
1356547501,273.483001709,199.043273926,169.455596924,0.727808535099,1.00000004581e-18,254.204177856,0.358858585358,50.0207977295,219.382003784,157.22593689,147.971801758,0.716676592827,1.00000004581e-18,254.146820068,0.863209664822,54.2444648743,41.817325592,21.4837913513,0.770904898643,1.00000004581e-18,254.231903076,0.21336607635,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,254.233825684,6.00001082144e-18,717652.3125,683179.25,66029.0,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356547501,273.483001709,199.043273926,169.455596924,0.727808535099,1.00000004581e-18,254.204177856,0.358858585358,50.0207977295,219.382003784,157.22593689,147.971801758,0.716676592827,1.00000004581e-18,254.146820068,0.863209664822,54.2444648743,41.817325592,21.4837913513,0.770904898643,1.00000004581e-18,254.231903076,0.21336607635,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,254.233825684,6.00001082144e-18,717652.3125,683179.25,66029.0,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356547502,273.349884033,199.031570435,169.312240601,0.728120207787,1.00000004581e-18,254.156311035,0.35875248909,50.0209159851,219.293334961,157.22605896,147.863067627,0.716966927052,1.00000004581e-18,254.099060059,0.863022983074,54.2006874084,41.8055038452,21.4491767883,0.771309494972,1.00000004581e-18,254.183532715,0.213234454393,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,254.186355591,6.00001082144e-18,717652.375,683179.3125,66029.046875,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356547502,273.349884033,199.031570435,169.312240601,0.728120207787,1.00000004581e-18,254.156311035,0.35875248909,50.0209159851,219.293334961,157.22605896,147.863067627,0.716966927052,1.00000004581e-18,254.099060059,0.863022983074,54.2006874084,41.8055038452,21.4491767883,0.771309494972,1.00000004581e-18,254.183532715,0.213234454393,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,254.186355591,6.00001082144e-18,717652.375,683179.3125,66029.046875,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356547503,273.199249268,198.973831177,169.198638916,0.728310346603,1.00000004581e-18,254.110122681,0.358619779348,50.0231590271,219.168380737,157.183792114,147.765975952,0.71718275547,1.00000004581e-18,254.052154541,0.862690508366,54.1743125916,41.7900466919,21.4326725006,0.771399617195,1.00000004581e-18,254.138061523,0.213168829679,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,254.140182495,6.00001082144e-18,717652.4375,683179.375,66029.09375,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356547504,273.072174072,198.92338562,168.060302734,0.728464484215,1.00000004581e-18,254.064697266,0.358524084091,50.0235481262,219.047439575,157.106750488,147.69519043,0.717227041721,1.00000004581e-18,254.003768921,0.862378716469,54.170955658,41.8166389465,20.3651123047,0.771938383579,1.00000004581e-18,254.092880249,0.213193520904,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,254.097442627,6.00001082144e-18,717652.5,683179.4375,66029.140625,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356547504,273.072174072,198.92338562,168.060302734,0.728464484215,1.00000004581e-18,254.064697266,0.358524084091,50.0235481262,219.047439575,157.106750488,147.69519043,0.717227041721,1.00000004581e-18,254.003768921,0.862378716469,54.170955658,41.8166389465,20.3651123047,0.771938383579,1.00000004581e-18,254.092880249,0.213193520904,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,254.097442627,6.00001082144e-18,717652.5,683179.4375,66029.140625,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356547505,273.011962891,198.885772705,168.078338623,0.728487372398,1.00000004581e-18,254.020263672,0.358505785465,50.0267601013,219.005859375,157.078918457,147.669662476,0.717236161232,1.00000004581e-18,253.961608887,0.862358093262,54.1526947021,41.8068580627,20.4086723328,0.772018015385,1.00000004581e-18,254.048034668,0.213159278035,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,254.051147461,6.00001082144e-18,717652.5625,683179.5,66029.1875,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356547506,272.938171387,198.875610352,168.075546265,0.728647112846,1.00000004581e-18,254.008010864,0.358426123857,50.0262145996,218.978912354,157.098526001,147.634399414,0.717413961887,1.00000004581e-18,253.948699951,0.862295866013,54.1055183411,41.7770805359,20.4411411285,0.772140860558,1.00000004581e-18,254.037368774,0.212982520461,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,254.037963867,6.00001082144e-18,717652.6875,683179.5625,66029.234375,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356547506,272.938171387,198.875610352,168.075546265,0.728647112846,1.00000004581e-18,254.008010864,0.358426123857,50.0262145996,218.978912354,157.098526001,147.634399414,0.717413961887,1.00000004581e-18,253.948699951,0.862295866013,54.1055183411,41.7770805359,20.4411411285,0.772140860558,1.00000004581e-18,254.037368774,0.212982520461,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,254.037963867,6.00001082144e-18,717652.6875,683179.5625,66029.234375,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
